,[1] Accuracy,[1] Steps,[1] Time,[2] Accuracy,[2] Steps,[2] Time,[3] Accuracy,[3] Steps,[3] Time
239,91.42857142857143,35.0,24.85163950920105,91.17647058823529,34.0,203.49927496910092,93.93939393939394,33.0,619.4725167751312
240,28.57142857142857,14.0,23.09530782699585,53.846153846153854,13.0,204.3702976703644,25.0,12.0,641.9218804836272
242,35.29411764705883,17.0,24.21470046043396,50.0,16.0,206.64525890350345,86.66666666666669,15.0,634.5622255802156
243,52.941176470588246,17.0,23.634893655776978,68.75,16.0,206.22860956192017,86.66666666666669,15.0,674.671680688858
244,95.0,20.0,24.925754308700558,94.73684210526315,19.0,202.64361596107483,94.44444444444444,18.0,647.1756796836852
245,66.66666666666666,30.0,26.783998489379886,79.3103448275862,29.0,210.3256244659424,82.14285714285714,28.0,643.1416389942168
246,30.0,10.0,24.62174987792969,11.111111111111109,9.0,211.26231002807617,12.5,8.0,654.2778553962708
247,29.09090909090909,55.0,27.323801755905148,50.0,54.0,214.52808833122253,56.60377358490565,53.0,639.5103442668915
248,65.21739130434783,46.0,26.26246023178101,77.7777777777778,45.0,237.020770072937,77.27272727272727,44.0,660.2058095932008
249,43.75,32.0,26.24641466140747,38.70967741935485,31.0,207.304270029068,40.0,30.0,651.526905298233
250,93.93939393939394,33.0,26.614879608154297,93.75,32.0,203.25223565101624,96.77419354838709,31.0,673.7100307941438
251,83.7837837837838,37.0,27.418097496032715,80.55555555555556,36.0,222.74023151397702,85.71428571428571,35.0,641.4128408432008
252,77.7777777777778,45.0,27.7773654460907,79.54545454545455,44.0,223.8703007698059,76.74418604651162,43.0,630.1279118061067
253,23.07692307692308,13.0,25.53437352180481,41.66666666666667,12.0,211.02073669433597,27.27272727272727,11.0,658.2192988395691
254,64.1025641025641,39.0,27.02108860015869,78.94736842105263,38.0,213.11991262435916,72.97297297297297,37.0,649.5144944190979
255,77.7777777777778,18.0,26.52267837524414,70.58823529411767,17.0,220.803827047348,81.25,16.0,650.5205414295198
256,31.25,16.0,26.76175880432129,73.33333333333333,15.0,206.30793976783752,78.57142857142857,14.0,666.6937878131866
258,61.36363636363637,44.0,29.692775011062626,65.11627906976744,43.0,217.8649423122406,64.28571428571429,42.0,557.132009267807
259,74.28571428571429,35.0,28.02497673034668,73.52941176470588,34.0,218.13848209381104,72.72727272727273,33.0,564.3781847953796
260,40.0,15.0,26.52468204498291,71.42857142857143,14.0,210.6317183971405,61.53846153846154,13.0,611.0306041240692
261,80.0,120.0,33.87364149093628,84.03361344537817,119.0,239.56557440757751,83.0508474576271,118.0,575.2221827507019
262,88.8888888888889,9.0,26.12024688720703,75.0,8.0,209.63921666145325,71.42857142857143,7.0,531.9932837486267
263,60.0,15.0,26.585031032562256,78.57142857142857,14.0,203.81885623931885,84.61538461538461,13.0,505.786251783371
264,58.82352941176471,17.0,28.12699556350708,68.75,16.0,217.9378273487091,80.0,15.0,544.8610889911652
265,78.78787878787878,33.0,29.297969102859497,84.375,32.0,227.68191862106323,77.4193548387097,31.0,570.1265957355498
266,63.63636363636363,11.0,27.257534503936768,70.0,10.0,202.99737906455996,88.8888888888889,9.0,600.7184367179872
267,73.91304347826086,138.0,35.974694013595574,75.91240875912408,137.0,238.45100736618042,75.0,136.0,719.5449180603027
268,36.734693877551024,49.0,32.1262788772583,54.16666666666666,48.0,239.3660628795624,65.95744680851064,47.0,606.0117568969728
269,55.555555555555564,9.0,27.788823127746586,37.5,8.0,213.3863959312439,71.42857142857143,7.0,644.8529920578002
